lab,subid,age_days,condition,mean_looking_time
babylabparisdescartes1,lpp12o12,402,IDS,5.624125
babylabparisdescartes1,lpp13o21,383,ADS,3.8634999999999997
babylabparisdescartes1,lpp13o21,383,IDS,2.978875
babylabparisdescartes1,lpp14o22,441,ADS,6.00375
babylabparisdescartes1,lpp14o22,441,IDS,6.078
babylabparisdescartes1,lpp15o31,383,ADS,5.793125
babylabparisdescartes1,lpp15o31,383,IDS,5.6335
babylabparisdescartes1,lpp16o32,422,ADS,3.732125
babylabparisdescartes1,lpp16o32,422,IDS,7.173625
babylabparisdescartes1,lpp17o41,382,ADS,5.50675
babylabparisdescartes1,lpp17o41,382,IDS,7.26625
babylabparisdescartes1,lpp18o42,429,ADS,6.28125
babylabparisdescartes1,lpp18o42,429,IDS,6.799125
babylabparisdescartes1,lpp19o11,366,ADS,1.5995
babylabparisdescartes1,lpp19o11,366,IDS,5.864
babylabplymouth,mb0901,280,ADS,4.375
babylabplymouth,mb0901,280,IDS,7.4925
babylabplymouth,mb0902,277,ADS,7.21375
babylabplymouth,mb0902,277,IDS,7.89625
babylabplymouth,mb0903,290,ADS,5.4775
babylabplymouth,mb0903,290,IDS,7.63625
babylabplymouth,mb0904,290,ADS,8.335
babylabplymouth,mb0904,290,IDS,10.82625
babylabplymouth,mb0905,301,ADS,6.05875
babylabplymouth,mb0905,301,IDS,9.2825
babylabplymouth,mb0906,303,ADS,7.9275
babylabplymouth,mb0906,303,IDS,6.56875
babylabplymouth,mb0907,286,ADS,8.58
babylabplymouth,mb0907,286,IDS,8.788333333333334
babylabplymouth,mb0908,297,ADS,5.38125
babylabplymouth,mb0908,297,IDS,4.89625
babylabplymouth,mb1001,312,ADS,7.26875
babylabplymouth,mb1001,312,IDS,5.046250000000001
babylabplymouth,mb1002,311,ADS,3.6750000000000003
babylabplymouth,mb1002,311,IDS,3.785
babylabplymouth,mb1003,320,ADS,3.75875
babylabplymouth,mb1003,320,IDS,7.5
babylabplymouth,mb1004,328,ADS,7.115
babylabplymouth,mb1004,328,IDS,6.2025
babylabplymouth,mb1005,306,ADS,3.3525
babylabplymouth,mb1005,306,IDS,5.272857142857143
babylabplymouth,mb1006,323,ADS,6.65875
babylabplymouth,mb1006,323,IDS,11.43625
babylabplymouth,mb1007,308,ADS,5.925
babylabplymouth,mb1007,308,IDS,7.78875
babylabplymouth,mb1008,316,ADS,7.54125
babylabplymouth,mb1008,316,IDS,5.02125
babylabplymouth,mb1009,319,ADS,8.322
babylabplymouth,mb1009,319,IDS,8.6075
babylabplymouth,mb1010,323,ADS,7.62875
babylabplymouth,mb1010,323,IDS,8.91875
babylabplymouth,mb1101,354,ADS,3.42625
babylabplymouth,mb1101,354,IDS,3.9575
babylabplymouth,mb1102,347,ADS,3.5412500000000002
babylabplymouth,mb1102,347,IDS,4.535
babylabplymouth,mb1103,351,ADS,6.035
babylabplymouth,mb1103,351,IDS,5.305
babylabplymouth,mb1104,342,ADS,8.151428571428571
babylabplymouth,mb1104,342,IDS,7.51
babylabplymouth,mb1105,342,ADS,6.46375
babylabplymouth,mb1105,342,IDS,8.66875
babylabplymouth,mb1106,339,ADS,4.9575000000000005
babylabplymouth,mb1106,339,IDS,5.4575000000000005
babylabplymouth,mb1107,362,ADS,7.356666666666667
babylabplymouth,mb1107,362,IDS,6.128333333333333
babylabplymouth,mb1108,345,ADS,6.510000000000001
babylabplymouth,mb1108,345,IDS,1.94
babylabplymouth,mb1201,376,ADS,6.975
babylabplymouth,mb1201,376,IDS,2.9085714285714284
babylabplymouth,mb1202,365,ADS,5.3775
babylabplymouth,mb1202,365,IDS,10.19125
babylabplymouth,mb1203,377,ADS,4.081428571428572
babylabplymouth,mb1203,377,IDS,10.841428571428573
babylabplymouth,mb1204,389,ADS,5.835
babylabplymouth,mb1204,389,IDS,8.1525
babylabplymouth,mb1205,370,ADS,6.20875
babylabplymouth,mb1205,370,IDS,5.86125
babylabplymouth,mb1206,381,ADS,7.62625
babylabplymouth,mb1206,381,IDS,7.80125
babylabplymouth,mb1207,372,ADS,3.70625
babylabplymouth,mb1207,372,IDS,6.85875
babylabplymouth,mb1208,381,ADS,6.65875
babylabplymouth,mb1208,381,IDS,6.0525
babylabpotsdam,b6805,302,ADS,4.56525
babylabpotsdam,b6805,302,IDS,5.616
babylabpotsdam,b6829,309,ADS,7.606857142857143
babylabpotsdam,b6829,309,IDS,7.967428571428571
babylabpotsdam,b6833,364,ADS,8.429
babylabpotsdam,b6833,364,IDS,8.3985
babylabpotsdam,b6834,356,ADS,5.785125
babylabpotsdam,b6834,356,IDS,9.663625
babylabpotsdam,b6846,361,ADS,10.391375
babylabpotsdam,b6846,361,IDS,12.311625
babylabpotsdam,b6850,330,ADS,7.155375
babylabpotsdam,b6850,330,IDS,9.7615
babylabpotsdam,b6854,363,ADS,4.3065
babylabpotsdam,b6854,363,IDS,5.0842
babylabpotsdam,b6869,302,ADS,7.639375
babylabpotsdam,b6869,302,IDS,7.90325
babylabpotsdam,b6873,317,ADS,5.6907499999999995
babylabpotsdam,b6873,317,IDS,7.211
babylabpotsdam,b6889,309,ADS,6.531
babylabpotsdam,b6889,309,IDS,7.2035
babylabpotsdam,b6899,361,ADS,5.8255
babylabpotsdam,b6899,361,IDS,3.556
babylabpotsdam,b6900,301,ADS,6.751875
babylabpotsdam,b6900,301,IDS,5.12875
babylabpotsdam,b6903,323,ADS,7.958375
babylabpotsdam,b6903,323,IDS,9.563625
babylabpotsdam,b6910,316,ADS,4.40925
babylabpotsdam,b6910,316,IDS,5.758875
babylabpotsdam,b6911,293,ADS,3.992714285714286
babylabpotsdam,b6911,293,IDS,7.574714285714285
babylabpotsdam,b6912,277,ADS,7.088
babylabpotsdam,b6912,277,IDS,7.7
babylabpotsdam,b6914,350,ADS,6.049375
babylabpotsdam,b6914,350,IDS,6.849625
babylabpotsdam,b6915,307,ADS,4.038875
babylabpotsdam,b6915,307,IDS,5.422750000000001
babylabpotsdam,b6920,308,ADS,7.8534999999999995
babylabpotsdam,b6920,308,IDS,9.479
babylabpotsdam,b6923,315,ADS,6.641375
babylabpotsdam,b6923,315,IDS,8.049375
babylabpotsdam,b6938,301,ADS,14.260625
babylabpotsdam,b6938,301,IDS,16.097375
babylabpotsdam,b6943,279,ADS,8.294375
babylabpotsdam,b6943,279,IDS,10.241
babylabpotsdam,b6945,304,ADS,17.0595
babylabpotsdam,b6945,304,IDS,16.985
babylabpotsdam,b6946,320,ADS,7.54275
babylabpotsdam,b6946,320,IDS,7.845125
babylabpotsdam,b6959,290,ADS,6.205625
babylabpotsdam,b6959,290,IDS,5.0985
babylabpotsdam,b6960,295,ADS,7.365125
babylabpotsdam,b6960,295,IDS,5.6606250000000005
babylabpotsdam,b6961,286,ADS,7.088
babylabpotsdam,b6961,286,IDS,10.540375
babylabpotsdam,b6967,274,ADS,10.19725
babylabpotsdam,b6967,274,IDS,9.90075
babylabpotsdam,b6987,279,ADS,8.027125
babylabpotsdam,b6987,279,IDS,5.461875
babylabpotsdam,b6993,279,ADS,7.961
babylabpotsdam,b6993,279,IDS,18
babylabpotsdam,b7041,311,ADS,2.7886
babylabpotsdam,b7041,311,IDS,3.7071666666666667
babylabpotsdam,b7045,315,ADS,6.192625
babylabpotsdam,b7045,315,IDS,3.33425
babylabprinceton,manybabies017,403,ADS,8.334625
babylabprinceton,manybabies017,403,IDS,13.314124999999999
babylabprinceton,manybabies018,431,ADS,4.313666666666666
babylabprinceton,manybabies018,431,IDS,1.5986666666666667
babylabprinceton,manybabies019,434,ADS,2.768
babylabprinceton,manybabies019,434,IDS,7.139833333333334
babylabprinceton,manybabies020,411,ADS,5.325
babylabprinceton,manybabies020,411,IDS,6.3204
babylabprinceton,manybabies022,431,ADS,3.8073333333333332
babylabprinceton,manybabies022,431,IDS,7.178333333333334
babylabprinceton,manybabies023,417,ADS,3.0465
babylabprinceton,manybabies023,417,IDS,3.1945
babylabprinceton,manybabies024,448,ADS,8.4915
babylabprinceton,manybabies024,448,IDS,14.8665
babylabprinceton,manybabies025,380,ADS,7.937
babylabprinceton,manybabies025,380,IDS,7.9238
babylabprinceton,manybabies026,434,ADS,8.978125
babylabprinceton,manybabies026,434,IDS,10.720875
babylabprinceton,manybabies027,410,ADS,6.162833333333333
babylabprinceton,manybabies027,410,IDS,9.295714285714286
babylabprinceton,manybabies028,379,ADS,7.896
babylabprinceton,manybabies028,379,IDS,10.168125
babylabprinceton,manybabies029,441,ADS,7.221
babylabprinceton,manybabies029,441,IDS,10.216666666666667
babylabprinceton,manybabies030,400,ADS,3.4375
babylabprinceton,manybabies030,400,IDS,3.655
babylabprinceton,manybabies032,396,ADS,4.983125
babylabprinceton,manybabies032,396,IDS,8.705125
infantllmadison,mb003,284,ADS,3.8112000000000004
infantllmadison,mb003,284,IDS,4.201
infantllmadison,mb004,269,ADS,3.90325
infantllmadison,mb004,269,IDS,5.046125
infantllmadison,mb005,248,ADS,7.78975
infantllmadison,mb005,248,IDS,10.045125
infantllmadison,mb006,356,ADS,13.198
infantllmadison,mb006,356,IDS,5.175
infantllmadison,mb007,263,ADS,3.338875
infantllmadison,mb007,263,IDS,5.731125
infantllmadison,mb008,270,ADS,10.07075
infantllmadison,mb008,270,IDS,16.8425
infantllmadison,mb009,319,ADS,13.089142857142857
infantllmadison,mb009,319,IDS,12.8658
infantllmadison,mb010,328,ADS,4.0536666666666665
infantllmadison,mb010,328,IDS,3.3706666666666667
infantllmadison,mb011,297,ADS,9.006125
infantllmadison,mb011,297,IDS,15.543
infantllmadison,mb012,213,ADS,6.333666666666667
infantllmadison,mb012,213,IDS,8.45625
infantllmadison,mb013,244,ADS,5.488625
infantllmadison,mb013,244,IDS,8.61475
infantllmadison,mb014,265,ADS,5.318125
infantllmadison,mb014,265,IDS,6.52925
infantllmadison,mb015,405,ADS,3.25625
infantllmadison,mb015,405,IDS,7.547125
infantllmadison,mb016,265,ADS,8.087625000000001
infantllmadison,mb016,265,IDS,9.074125
infantllmadison,mb017,405,ADS,4.938125
infantllmadison,mb017,405,IDS,6.30625
infantllmadison,mb018,286,ADS,8.582666666666666
infantllmadison,mb018,286,IDS,10.636
infantllmadison,mb019,318,ADS,5.179625
infantllmadison,mb019,318,IDS,9.232875
infantllmadison,mb020,420,ADS,8.7068
infantllmadison,mb020,420,IDS,9.2306
infantllmadison,mb021,277,ADS,3.896
infantllmadison,mb021,277,IDS,5.7926
infantllmadison,mb022,330,ADS,3.9145
infantllmadison,mb022,330,IDS,5.231375
infantllmadison,mb023,302,ADS,8.854875
infantllmadison,mb023,302,IDS,7.914125
infantllmadison,mb024,358,ADS,2.808625
infantllmadison,mb024,358,IDS,2.856875
infantllmadison,mb025,254,ADS,5.236125
infantllmadison,mb025,254,IDS,6.844625000000001
infantllmadison,mb026,354,ADS,5.44725
infantllmadison,mb026,354,IDS,9.725624999999999
infantllmadison,mb027,354,ADS,4.9805
infantllmadison,mb027,354,IDS,7.224125
infantllmadison,mb028,306,ADS,5.632571428571429
infantllmadison,mb028,306,IDS,4.601666666666667
infantllmadison,mb029,410,ADS,2.800625
infantllmadison,mb029,410,IDS,6.64575
infantllmadison,mb030,284,ADS,4.538375
infantllmadison,mb030,284,IDS,4.48975
infantllmadison,mb031,391,ADS,4.693875
infantllmadison,mb031,391,IDS,9.475999999999999
infantllmadison,mb032,398,ADS,3.33975
infantllmadison,mb032,398,IDS,10.990875
infantllmadison,mb034,334,ADS,4.50775
infantllmadison,mb034,334,IDS,4.743857142857143
infantllmadison,mb035,365,ADS,6.8793750000000005
infantllmadison,mb035,365,IDS,9.975375
infantllmadison,mb036,399,ADS,5.107571428571428
infantllmadison,mb036,399,IDS,5.3181666666666665
infantllmadison,mb037,301,ADS,3.5141666666666667
infantllmadison,mb037,301,IDS,4.114833333333333
infantllmadison,mb039,295,ADS,5.55275
infantllmadison,mb039,295,IDS,6.6111249999999995
infantllmadison,mb040,368,ADS,6.58475
infantllmadison,mb040,368,IDS,7.756625
infantllmadison,mb041,208,ADS,7.514125
infantllmadison,mb041,208,IDS,5.40825
infantllmadison,mb042,201,ADS,8.523666666666667
infantllmadison,mb042,201,IDS,4.783666666666667
infantllmadison,mb043,266,ADS,8.300875
infantllmadison,mb043,266,IDS,10.115
infantllmadison,mb045,313,ADS,3.630875
infantllmadison,mb045,313,IDS,6.039375
infantllmadison,mb046,373,ADS,6.563125
infantllmadison,mb046,373,IDS,7.03
infantllmadison,mb047,378,ADS,4.339
infantllmadison,mb047,378,IDS,7.734125
infantllmadison,mb048,202,ADS,6.03125
infantllmadison,mb048,202,IDS,9.526625
infantllmadison,mb049,356,ADS,4.908625
infantllmadison,mb049,356,IDS,7.85
infantllmadison,mb050,302,ADS,6.06275
infantllmadison,mb050,302,IDS,6.837
infantllmadison,mb051,294,ADS,6.321
infantllmadison,mb051,294,IDS,7.208625
infantllmadison,mb052,383,ADS,5.07775
infantllmadison,mb052,383,IDS,5.9345
infantllmadison,mb053,370,ADS,2.9778333333333333
infantllmadison,mb053,370,IDS,4.632857142857143
infantllmadison,mb054,230,ADS,11.431625
infantllmadison,mb054,230,IDS,11.303625
infantllmadison,mb055,376,ADS,3.697375
infantllmadison,mb055,376,IDS,2.84725
infantllmadison,mb056,237,ADS,8.18775
infantllmadison,mb056,237,IDS,6.33125
infantllmadison,mb057,457,ADS,6.042166666666667
infantllmadison,mb057,457,IDS,6.437857142857143
infantllmadison,mb058,433,ADS,4.3875
infantllmadison,mb058,433,IDS,4.15625
infantllmadison,mb059,312,ADS,8.19825
infantllmadison,mb059,312,IDS,9.339125
infantllmadison,mb060,223,ADS,7.31875
infantllmadison,mb060,223,IDS,9.387
infantllmadison,mb061,224,ADS,11.4918
infantllmadison,mb061,224,IDS,16.03475
infantllmadison,mb062,236,ADS,9.382375
infantllmadison,mb062,236,IDS,9.644625
infantllmadison,mb063,431,ADS,5.908625
infantllmadison,mb063,431,IDS,8.94225
infantllmadison,mb064,330,ADS,6.6235
infantllmadison,mb064,330,IDS,9.946
infantllmadison,mb065,438,ADS,6.69025
infantllmadison,mb065,438,IDS,7.119625
infantllmadison,mb066,453,ADS,1.2389999999999999
infantllmadison,mb066,453,IDS,2.1611666666666665
infantllmadison,mb067,450,ADS,4.94425
infantllmadison,mb067,450,IDS,5.8424000000000005
infantllmadison,mb068,420,ADS,2.091
infantllmadison,mb068,420,IDS,12.199
infantllmadison,mb069,440,ADS,4.343875000000001
infantllmadison,mb069,440,IDS,6.919375
infantllmadison,mb070,413,ADS,5.8675
infantllmadison,mb070,413,IDS,8.467857142857143
infantllmadison,mb072,452,ADS,3.6854999999999998
infantllmadison,mb072,452,IDS,6.5105
infantllmadison,mb073,421,ADS,2.3515
infantllmadison,mb073,421,IDS,4.724
infantllmadison,mb074,454,ADS,6.427
infantllmadison,mb074,454,IDS,7.924833333333333
infantllmadison,mb075,445,ADS,5.803875000000001
infantllmadison,mb075,445,IDS,7.995375
infantllmadison,mb076,286,ADS,4.911375
infantllmadison,mb076,286,IDS,9.546375
infantllmadison,mb077,348,ADS,5.667625
infantllmadison,mb077,348,IDS,7.109375
infantllmadison,mb078,417,ADS,4.295571428571429
infantllmadison,mb078,417,IDS,9.391
infantllmadison,mb079,221,ADS,5.8825
infantllmadison,mb079,221,IDS,8.756874999999999
infantllmadison,mb080,386,ADS,3.743375
infantllmadison,mb080,386,IDS,6.622875
infantllmadison,mb081,401,ADS,3.0936
infantllmadison,mb081,401,IDS,7.8425
infantllmadison,mb082,382,ADS,0.858
infantllmadison,mb082,382,IDS,5.444
infantllmadison,mb083,437,ADS,4.488625
infantllmadison,mb083,437,IDS,5.654375
infantllmadison,mb084,296,ADS,5.444625
infantllmadison,mb084,296,IDS,7.344374999999999
infantllmadison,mb085,262,ADS,3.3447500000000003
infantllmadison,mb085,262,IDS,4.5875
infantllmadison,mb087,321,ADS,3.6006
infantllmadison,mb087,321,IDS,3.9682500000000003
infantllmadison,mb088,309,ADS,7.610875
infantllmadison,mb088,309,IDS,6.580375
infantllmadison,mb089,294,ADS,5.05425
infantllmadison,mb089,294,IDS,7.7965
infantllmadison,mb091,288,ADS,8.173875
infantllmadison,mb091,288,IDS,10.74425
infantllmadison,mb093,265,ADS,5.671
infantllmadison,mb093,265,IDS,7.1505
infantllmadison,mb094,205,ADS,5.337625
infantllmadison,mb094,205,IDS,4.3790000000000004
infantllmadison,mb095,313,ADS,6.4435714285714285
infantllmadison,mb095,313,IDS,5.711571428571428
infantllmadison,mb097,230,ADS,6.912875
infantllmadison,mb097,230,IDS,2.011625
