lab,subid,age_days,condition,mean_looking_time
babylabnijmegen,ba0169,245,ADS,8.38125
babylabnijmegen,ba0169,245,IDS,7.27875
babylabnijmegen,ba01912,323,ADS,5.28375
babylabnijmegen,ba01912,323,IDS,5.21125
babylabnijmegen,ba0269,206,ADS,5.20375
babylabnijmegen,ba0269,206,IDS,9.3275
babylabnijmegen,ba02912,335,ADS,9.31875
babylabnijmegen,ba02912,335,IDS,9.425
babylabnijmegen,ba0369,257,ADS,8.42125
babylabnijmegen,ba0369,257,IDS,7.35
babylabnijmegen,ba03912,329,ADS,6.6825
babylabnijmegen,ba03912,329,IDS,8.89625
babylabnijmegen,ba04912,332,ADS,3.4875
babylabnijmegen,ba04912,332,IDS,2.91375
babylabnijmegen,ba0569,208,ADS,4.79875
babylabnijmegen,ba0569,208,IDS,3.8725
babylabnijmegen,ba05912,348,ADS,5.39125
babylabnijmegen,ba05912,348,IDS,6.165
babylabnijmegen,ba0669,253,ADS,4.6725
babylabnijmegen,ba0669,253,IDS,5.43
babylabnijmegen,ba0769,252,ADS,10.057500000000001
babylabnijmegen,ba0769,252,IDS,10.7225
babylabnijmegen,ba07912,333,ADS,7.8
babylabnijmegen,ba07912,333,IDS,5.5725
babylabnijmegen,ba0869,209,ADS,11.43125
babylabnijmegen,ba0869,209,IDS,9.870000000000001
babylabnijmegen,ba08912,341,ADS,5.6000000000000005
babylabnijmegen,ba08912,341,IDS,6.6850000000000005
babylabnijmegen,ba0969,228,ADS,14.02625
babylabnijmegen,ba0969,228,IDS,15.772499999999999
babylabnijmegen,ba09912,352,ADS,7.90125
babylabnijmegen,ba09912,352,IDS,9.20625
babylabnijmegen,ba1069,270,ADS,6.433333333333334
babylabnijmegen,ba1069,270,IDS,12.146666666666668
babylabnijmegen,ba10912,336,ADS,7.31875
babylabnijmegen,ba10912,336,IDS,5.26375
babylabnijmegen,ba1169,255,ADS,8.838750000000001
babylabnijmegen,ba1169,255,IDS,7.6725
babylabnijmegen,ba11912,333,ADS,4.1175
babylabnijmegen,ba11912,333,IDS,7.8125
babylabnijmegen,ba1269,231,ADS,7.5024999999999995
babylabnijmegen,ba1269,231,IDS,6.7225
babylabnijmegen,ba12912,347,ADS,10.625
babylabnijmegen,ba12912,347,IDS,12.74375
babylabnijmegen,ba1369,252,ADS,9.62
babylabnijmegen,ba1369,252,IDS,10.848749999999999
babylabnijmegen,ba13912,342,ADS,6.7212499999999995
babylabnijmegen,ba13912,342,IDS,5.6525
babylabnijmegen,ba1469,213,ADS,5.8950000000000005
babylabnijmegen,ba1469,213,IDS,6.53875
babylabnijmegen,ba14912,299,ADS,6.296250000000001
babylabnijmegen,ba14912,299,IDS,5.01625
babylabnijmegen,ba1569,214,ADS,8.33625
babylabnijmegen,ba1569,214,IDS,11.85875
babylabnijmegen,ba15912,356,ADS,8.80875
babylabnijmegen,ba15912,356,IDS,8.09625
babylabnijmegen,ba1669,215,ADS,4.7125
babylabnijmegen,ba1669,215,IDS,6.37125
babylabnijmegen,ba16912,332,ADS,7.41875
babylabnijmegen,ba16912,332,IDS,7.45
babylabnijmegen,ba1769,266,ADS,5.31625
babylabnijmegen,ba1769,266,IDS,3.5325
babylabnijmegen,ba17912,307,ADS,7.60875
babylabnijmegen,ba17912,307,IDS,9.44875
babylabnijmegen,ba1869,217,ADS,8.69625
babylabnijmegen,ba1869,217,IDS,13.045
babylabnijmegen,ba18912,287,ADS,4.9750000000000005
babylabnijmegen,ba18912,287,IDS,3.25125
babylabnijmegen,ba1969,262,ADS,6.4
babylabnijmegen,ba1969,262,IDS,6.62375
babylabnijmegen,ba19912,301,ADS,7.07
babylabnijmegen,ba19912,301,IDS,4.21875
babylabnijmegen,ba2069,263,ADS,6.7212499999999995
babylabnijmegen,ba2069,263,IDS,11.21625
babylabnijmegen,ba20912,343,ADS,3.7712499999999998
babylabnijmegen,ba20912,343,IDS,4.84875
babylabnijmegen,ba21912,339,ADS,4.0600000000000005
babylabnijmegen,ba21912,339,IDS,3.111428571428571
babylabnijmegen,ba2269,270,ADS,5.93
babylabnijmegen,ba2269,270,IDS,6.82125
babylabnijmegen,ba22912,341,ADS,5.725
babylabnijmegen,ba22912,341,IDS,9.28875
babylabnijmegen,ba2369,249,ADS,8.43625
babylabnijmegen,ba2369,249,IDS,6.85375
babylabnijmegen,ba2469,260,ADS,3.5
babylabnijmegen,ba2469,260,IDS,2.9925
babylabnijmegen,ba24912,350,ADS,4.05625
babylabnijmegen,ba24912,350,IDS,8.865
babylabnijmegen,ba2569,220,ADS,7.494
babylabnijmegen,ba2569,220,IDS,4.581666666666667
babylabnijmegen,ba2669,245,ADS,6.59
babylabnijmegen,ba2669,245,IDS,10.445
babylabnijmegen,ba2769,245,ADS,11.54
babylabnijmegen,ba2769,245,IDS,10.76375
babylabnijmegen,ba28912,358,ADS,7.0775
babylabnijmegen,ba28912,358,IDS,8.28375
babylabnijmegen,ba2969,214,ADS,6.3462499999999995
babylabnijmegen,ba2969,214,IDS,8.22625
babylabnijmegen,ba29912,318,ADS,4.30875
babylabnijmegen,ba29912,318,IDS,5.9312499999999995
babylabnijmegen,ba3069,262,ADS,2.8783333333333334
babylabnijmegen,ba3069,262,IDS,4.63
babylabnijmegen,ba30912,302,ADS,3.03625
babylabnijmegen,ba30912,302,IDS,3.93
babylabnijmegen,ba3169,215,ADS,8.9075
babylabnijmegen,ba3169,215,IDS,9.10125
babylabnijmegen,ba3269,236,ADS,8.79625
babylabnijmegen,ba3269,236,IDS,8.99125
babylabnijmegen,ba32912,334,ADS,7.96375
babylabnijmegen,ba32912,334,IDS,7.56875
babylabparisdescartes1,lpp110o12,374,ADS,3.8945
babylabparisdescartes1,lpp110o12,374,IDS,7.18625
babylabparisdescartes1,lpp111o21,406,ADS,3.9825
babylabparisdescartes1,lpp111o21,406,IDS,7.48225
babylabparisdescartes1,lpp112o22,408,ADS,5.3603749999999994
babylabparisdescartes1,lpp112o22,408,IDS,4.61525
babylabparisdescartes1,lpp113o31,418,ADS,7.7782857142857145
babylabparisdescartes1,lpp113o31,418,IDS,5.92475
babylabparisdescartes1,lpp114o32,417,ADS,4.584375
babylabparisdescartes1,lpp114o32,417,IDS,5.289375
babylabparisdescartes1,lpp115o41,420,ADS,1.4023333333333334
babylabparisdescartes1,lpp115o41,420,IDS,1.5721666666666667
babylabparisdescartes1,lpp116o42,374,ADS,4.35375
babylabparisdescartes1,lpp116o42,374,IDS,5.9117500000000005
babylabparisdescartes1,lpp11o11,425,ADS,4.009285714285714
babylabparisdescartes1,lpp11o11,425,IDS,4.408857142857143
babylabparisdescartes1,lpp12o12,402,ADS,3.049625
