sub_id,trial_num,age_years,age_months,vocabulary_score,condition,target_object,correct
1,1,3,47.04,72.73,FF,balloon,TRUE
1,2,3,47.04,72.73,FF,bowl,TRUE
1,3,3,47.04,72.73,FF,apple,TRUE
1,4,3,47.04,72.73,NF,helm,TRUE
1,5,3,47.04,72.73,NF,beaker,TRUE
1,6,3,47.04,72.73,NF,gourd,TRUE
1,7,3,47.04,72.73,NF,luffa,TRUE
2,1,2,30.36,59.09,FF,cup,TRUE
2,2,2,30.36,59.09,FF,guitar,TRUE
2,3,2,30.36,59.09,FF,apple,TRUE
2,4,2,30.36,59.09,NF,longan,TRUE
2,5,2,30.36,59.09,NF,fig,TRUE
2,6,2,30.36,59.09,NF,bung,FALSE
2,7,2,30.36,59.09,NF,ladle,TRUE
3,1,3,41.64,77.27,FF,cookie,TRUE
3,2,3,41.64,77.27,FF,flower,TRUE
3,3,3,41.64,77.27,FF,guitar,TRUE
3,4,3,41.64,77.27,NF,pipette,TRUE
3,5,3,41.64,77.27,NF,sieve,TRUE
3,6,3,41.64,77.27,NF,tongs,TRUE
3,7,3,41.64,77.27,NF,kettle,TRUE
4,1,3,41.519999999999996,72.73,FF,guitar,TRUE
4,2,3,41.519999999999996,72.73,FF,bowl,TRUE
4,3,3,41.519999999999996,72.73,FF,banana,TRUE
4,4,3,41.519999999999996,72.73,NF,helm,TRUE
4,5,3,41.519999999999996,72.73,NF,fig,TRUE
4,6,3,41.519999999999996,72.73,NF,beaker,TRUE
4,7,3,41.519999999999996,72.73,NF,dulcimer,TRUE
5,1,3,42.36,68.18,FF,guitar,TRUE
5,2,3,42.36,68.18,FF,banana,TRUE
5,3,3,42.36,68.18,FF,flower,TRUE
5,4,3,42.36,68.18,NF,okra,TRUE
5,5,3,42.36,68.18,NF,fig,TRUE
5,6,3,42.36,68.18,NF,funnel,TRUE
5,7,3,42.36,68.18,NF,chestnut,TRUE
6,1,2,32.28,63.64,FF,apple,TRUE
6,2,2,32.28,63.64,FF,spoon,TRUE
6,3,2,32.28,63.64,FF,balloon,FALSE
6,4,2,32.28,63.64,NF,longan,TRUE
6,5,2,32.28,63.64,NF,whisk,TRUE
6,6,2,32.28,63.64,NF,chestnut,FALSE
6,7,2,32.28,63.64,NF,sieve,FALSE
7,1,3,38.04,68.18,FF,apple,TRUE
7,2,3,38.04,68.18,FF,shoe,TRUE
7,3,3,38.04,68.18,FF,guitar,FALSE
7,4,3,38.04,68.18,NF,gourd,FALSE
7,5,3,38.04,68.18,NF,disk,TRUE
7,6,3,38.04,68.18,NF,ginger,TRUE
7,7,3,38.04,68.18,NF,luffa,FALSE
8,1,3,37.8,90.91,FF,balloon,TRUE
8,2,3,37.8,90.91,FF,bowl,TRUE
9,1,3,45.12,68.18,FF,cookie,TRUE
9,2,3,45.12,68.18,FF,balloon,TRUE
9,3,3,45.12,68.18,FF,cup,TRUE
9,4,3,45.12,68.18,NF,funnel,TRUE
9,5,3,45.12,68.18,NF,fig,TRUE
9,6,3,45.12,68.18,NF,tongs,TRUE
9,7,3,45.12,68.18,NF,gourd,TRUE
10,1,3,39.24,86.36,FF,apple,TRUE
