subid,class_num,grade,group,year,time,task,score
S1-02-02,S1_02,First Grade,Control,2015,Pre,Place Value,0
S1-02-03,S1_02,First Grade,Control,2015,Pre,Place Value,0
S1-02-03,S1_02,First Grade,Control,2016,Post,Place Value,0.36
S1-02-08,S1_02,First Grade,Control,2015,Pre,Place Value,0
S1-02-08,S1_02,First Grade,Control,2016,Post,Place Value,0.36
S1-02-15,S1_02,First Grade,Control,2016,Post,Place Value,0.64
S1-02-17,S1_02,First Grade,Control,2015,Pre,Place Value,0.09
S1-02-17,S1_02,First Grade,Control,2016,Post,Place Value,NA
S1-03-04,S1_03,First Grade,Mental Abacus,2016,Post,Place Value,0.55
S1-03-05,S1_03,First Grade,Mental Abacus,2016,Post,Place Value,0.91
S1-03-06,S1_03,First Grade,Mental Abacus,2016,Post,Place Value,0
S1-03-09,S1_03,First Grade,Mental Abacus,2016,Post,Place Value,0.18
S1-03-14,S1_03,First Grade,Mental Abacus,2016,Post,Place Value,0.27
S1-03-15,S1_03,First Grade,Mental Abacus,2016,Post,Place Value,0.27
S1-04-01,S1_04,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-04-01,S1_04,First Grade,Mental Abacus,2016,Post,Place Value,0.82
S1-04-03,S1_04,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-04-03,S1_04,First Grade,Mental Abacus,2016,Post,Place Value,0.36
S1-04-04,S1_04,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-04-04,S1_04,First Grade,Mental Abacus,2016,Post,Place Value,0.18
S1-04-07,S1_04,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-04-07,S1_04,First Grade,Mental Abacus,2016,Post,Place Value,0.27
S1-04-08,S1_04,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-04-08,S1_04,First Grade,Mental Abacus,2016,Post,Place Value,0.36
S1-04-11,S1_04,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-04-11,S1_04,First Grade,Mental Abacus,2016,Post,Place Value,0.09
S1-04-17,S1_04,First Grade,Mental Abacus,2015,Pre,Place Value,0.09
S1-04-17,S1_04,First Grade,Mental Abacus,2016,Post,Place Value,0.45
S1-04-18,S1_04,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-04-18,S1_04,First Grade,Mental Abacus,2016,Post,Place Value,0.18
S1-07-02,S1_07,First Grade,Control,2015,Pre,Place Value,0
S1-07-02,S1_07,First Grade,Control,2016,Post,Place Value,1
S1-07-05,S1_07,First Grade,Control,2016,Post,Place Value,0
S1-07-06,S1_07,First Grade,Control,2015,Pre,Place Value,0
S1-07-08,S1_07,First Grade,Control,2015,Pre,Place Value,0.09
S1-07-11,S1_07,First Grade,Control,2015,Pre,Place Value,0
S1-07-11,S1_07,First Grade,Control,2016,Post,Place Value,0.18
S1-07-15,S1_07,First Grade,Control,2015,Pre,Place Value,0
S1-07-18,S1_07,First Grade,Control,2015,Pre,Place Value,0
S1-07-18,S1_07,First Grade,Control,2016,Post,Place Value,0.36
S1-07-20,S1_07,First Grade,Control,2015,Pre,Place Value,0.27
S1-07-20,S1_07,First Grade,Control,2016,Post,Place Value,0.36
S1-07-23,S1_07,First Grade,Control,2015,Pre,Place Value,0.09
S1-09-01,S1_09,First Grade,Control,2015,Pre,Place Value,0.18
S1-09-01,S1_09,First Grade,Control,2016,Post,Place Value,0.18
S1-09-05,S1_09,First Grade,Control,2015,Pre,Place Value,0
S1-09-05,S1_09,First Grade,Control,2016,Post,Place Value,0.36
S1-09-06,S1_09,First Grade,Control,2015,Pre,Place Value,0.09
S1-09-06,S1_09,First Grade,Control,2016,Post,Place Value,0.09
S1-09-07,S1_09,First Grade,Control,2015,Pre,Place Value,0
S1-09-07,S1_09,First Grade,Control,2016,Post,Place Value,0.09
S1-09-11,S1_09,First Grade,Control,2015,Pre,Place Value,0
S1-09-11,S1_09,First Grade,Control,2016,Post,Place Value,0.27
S1-09-18,S1_09,First Grade,Control,2016,Post,Place Value,0.36
S1-09-19,S1_09,First Grade,Control,2015,Pre,Place Value,0.09
S1-09-19,S1_09,First Grade,Control,2016,Post,Place Value,0.09
S1-10-01,S1_10,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-10-01,S1_10,First Grade,Mental Abacus,2016,Post,Place Value,0.36
S1-10-02,S1_10,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-10-02,S1_10,First Grade,Mental Abacus,2016,Post,Place Value,0.36
S1-10-06,S1_10,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-10-06,S1_10,First Grade,Mental Abacus,2016,Post,Place Value,0.91
S1-10-07,S1_10,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-10-07,S1_10,First Grade,Mental Abacus,2016,Post,Place Value,0.73
S1-10-08,S1_10,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-10-08,S1_10,First Grade,Mental Abacus,2016,Post,Place Value,0.36
S1-10-09,S1_10,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-10-09,S1_10,First Grade,Mental Abacus,2016,Post,Place Value,0.36
S1-10-12,S1_10,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-10-12,S1_10,First Grade,Mental Abacus,2016,Post,Place Value,0.36
S1-10-13,S1_10,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-10-13,S1_10,First Grade,Mental Abacus,2016,Post,Place Value,0.36
S1-10-16,S1_10,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-11-01,S1_11,First Grade,Mental Abacus,2015,Pre,Place Value,0.18
S1-11-01,S1_11,First Grade,Mental Abacus,2016,Post,Place Value,0.27
S1-11-02,S1_11,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-11-02,S1_11,First Grade,Mental Abacus,2016,Post,Place Value,0.45
S1-11-03,S1_11,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-11-03,S1_11,First Grade,Mental Abacus,2016,Post,Place Value,0.36
S1-11-04,S1_11,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-11-04,S1_11,First Grade,Mental Abacus,2016,Post,Place Value,0.09
S1-11-09,S1_11,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-11-09,S1_11,First Grade,Mental Abacus,2016,Post,Place Value,0.09
S1-11-10,S1_11,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-11-10,S1_11,First Grade,Mental Abacus,2016,Post,Place Value,0.27
S1-11-11,S1_11,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-11-11,S1_11,First Grade,Mental Abacus,2016,Post,Place Value,0.09
S1-11-17,S1_11,First Grade,Mental Abacus,2015,Pre,Place Value,0
S1-11-17,S1_11,First Grade,Mental Abacus,2016,Post,Place Value,0.09
S1-12-01,S1_12,First Grade,Control,2015,Pre,Place Value,0
S1-12-01,S1_12,First Grade,Control,2016,Post,Place Value,0.18
S1-12-02,S1_12,First Grade,Control,2016,Post,Place Value,0.18
S1-12-04,S1_12,First Grade,Control,2015,Pre,Place Value,0
S1-12-04,S1_12,First Grade,Control,2016,Post,Place Value,0.09
S1-12-05,S1_12,First Grade,Control,2015,Pre,Place Value,0
S1-12-05,S1_12,First Grade,Control,2016,Post,Place Value,0.27
S1-12-08,S1_12,First Grade,Control,2015,Pre,Place Value,0
S1-12-08,S1_12,First Grade,Control,2016,Post,Place Value,0
S1-12-10,S1_12,First Grade,Control,2015,Pre,Place Value,0
S1-12-11,S1_12,First Grade,Control,2015,Pre,Place Value,0
S1-12-11,S1_12,First Grade,Control,2016,Post,Place Value,0.18
S1-12-12,S1_12,First Grade,Control,2015,Pre,Place Value,0
S1-12-12,S1_12,First Grade,Control,2016,Post,Place Value,0.36
S1-12-13,S1_12,First Grade,Control,2015,Pre,Place Value,0
S1-12-15,S1_12,First Grade,Control,2015,Pre,Place Value,0
S1-14-01,S1_14,First Grade,Control,2015,Pre,Place Value,0
