exp,subids,trial_num,category,condition,proportion_basic_level_responses
1,42,12,animals,three_subordinate,0
1,43,12,vehicles,three_superordinate,1
1,44,12,vegetables,three_subordinate,0
1,45,12,animals,three_superordinate,0
1,46,12,vegetables,three_superordinate,1
1,47,12,animals,three_basic,1
1,48,12,vehicles,three_superordinate,1
1,49,12,animals,three_basic,1
1,50,12,animals,three_basic,1
1,1,11,vegetables,three_subordinate,0
1,2,11,animals,three_superordinate,1
1,3,11,animals,three_basic,1
1,4,11,animals,three_superordinate,1
1,5,11,vegetables,three_basic,1
1,6,11,animals,three_subordinate,0
1,7,11,animals,three_superordinate,1
1,8,11,vehicles,three_basic,0.5
1,9,11,vehicles,three_basic,1
1,10,11,vegetables,three_subordinate,0
1,11,11,vegetables,three_subordinate,0
1,12,11,animals,three_subordinate,0
1,13,11,animals,three_superordinate,1
1,14,11,vegetables,three_subordinate,0
1,15,11,vehicles,three_subordinate,1
1,16,11,animals,three_basic,0.5
1,17,11,vehicles,three_subordinate,0
1,18,11,animals,three_superordinate,1
1,19,11,animals,three_subordinate,0
1,20,11,animals,three_superordinate,1
1,21,11,vegetables,three_subordinate,0
1,22,11,vegetables,three_superordinate,1
1,23,11,animals,three_basic,1
1,24,11,vehicles,three_basic,1
1,25,11,vehicles,three_superordinate,1
1,26,11,vegetables,three_basic,1
1,27,11,vegetables,three_basic,1
1,28,11,vehicles,three_subordinate,1
1,29,11,vehicles,three_basic,1
1,30,11,vegetables,three_superordinate,1
1,31,11,animals,three_basic,1
1,32,11,vegetables,three_superordinate,1
1,33,11,vegetables,three_subordinate,0
1,34,11,animals,three_basic,1
1,35,11,vehicles,three_subordinate,0
1,36,11,vegetables,three_superordinate,1
1,37,11,vegetables,three_basic,1
1,38,11,animals,three_basic,1
1,39,11,vegetables,three_basic,1
1,40,11,vehicles,three_basic,1
1,41,11,vehicles,three_superordinate,1
1,42,11,vegetables,three_basic,1
1,43,11,animals,three_superordinate,1
1,44,11,vehicles,three_superordinate,1
1,45,11,animals,three_subordinate,0
1,46,11,animals,three_superordinate,1
1,47,11,vegetables,three_basic,1
1,48,11,vegetables,three_basic,1
1,49,11,vegetables,three_superordinate,0
1,50,11,vegetables,three_basic,1
1,1,1,vehicles,one,0
1,2,1,vegetables,one,1
1,3,1,vehicles,one,0.5
1,4,1,animals,one,1
1,5,1,animals,one,1
1,6,1,vehicles,one,0
1,7,1,animals,one,1
1,8,1,vegetables,one,0.5
1,9,1,vegetables,one,1
1,10,1,vegetables,one,1
1,11,1,vegetables,one,1
1,12,1,vegetables,one,1
1,13,1,vegetables,one,1
1,14,1,vegetables,one,0
1,15,1,animals,one,0
1,16,1,vegetables,one,1
1,17,1,vegetables,one,0
1,18,1,vegetables,one,1
1,19,1,vehicles,one,1
1,20,1,vehicles,one,0.5
1,21,1,vegetables,one,0
1,22,1,vegetables,one,1
1,23,1,vehicles,one,1
1,24,1,vehicles,one,1
1,25,1,vegetables,one,1
1,26,1,vehicles,one,0
1,27,1,vehicles,one,1
1,28,1,vegetables,one,1
1,29,1,animals,one,1
1,30,1,animals,one,1
1,31,1,vehicles,one,0.5
1,32,1,vehicles,one,1
1,33,1,vehicles,one,0
1,34,1,vehicles,one,0
1,35,1,vehicles,one,0
1,36,1,vegetables,one,1
1,37,1,animals,one,0
1,38,1,animals,one,0
1,39,1,animals,one,1
1,40,1,vehicles,one,1
1,41,1,vegetables,one,1
1,42,1,vegetables,one,1
1,43,1,vegetables,one,1
1,44,1,animals,one,1
1,45,1,vegetables,one,0
1,46,1,animals,one,1
1,47,1,vegetables,one,1
1,48,1,vehicles,one,0
1,49,1,animals,one,0.5
1,50,1,vegetables,one,0
1,1,3,vegetables,one,0
1,2,3,vehicles,one,1
1,3,3,vegetables,one,1
1,4,3,vegetables,one,1
1,5,3,vegetables,one,1
1,6,3,animals,one,0
1,7,3,vegetables,one,1
1,8,3,animals,one,1
1,9,3,animals,one,0
1,10,3,vehicles,one,1
1,11,3,animals,one,1
1,12,3,animals,one,1
1,13,3,animals,one,1
1,14,3,vehicles,one,0
1,15,3,vehicles,one,0
1,16,3,animals,one,0
1,17,3,vehicles,one,0
1,18,3,animals,one,1
1,19,3,animals,one,1
1,20,3,animals,one,1
1,21,3,animals,one,0
1,22,3,animals,one,1
1,23,3,vegetables,one,0.5
1,24,3,animals,one,1
1,25,3,vehicles,one,1
1,26,3,animals,one,1
1,27,3,animals,one,1
1,28,3,vehicles,one,0
1,29,3,vegetables,one,1
1,30,3,vegetables,one,1
1,31,3,vegetables,one,1
1,32,3,vegetables,one,1
1,33,3,vegetables,one,1
1,34,3,animals,one,0
1,35,3,vegetables,one,1
1,36,3,vehicles,one,1
1,37,3,vegetables,one,0
1,38,3,vegetables,one,0
1,39,3,vegetables,one,1
1,40,3,vegetables,one,1
1,41,3,vehicles,one,1
1,42,3,animals,one,1
1,43,3,animals,one,1
1,44,3,vegetables,one,1
1,45,3,vehicles,one,0
1,46,3,vehicles,one,1
1,47,3,vehicles,one,1
1,48,3,vegetables,one,0
1,49,3,vegetables,one,0
1,50,3,animals,one,0
1,1,2,animals,one,0
1,2,2,animals,one,1
1,3,2,animals,one,1
1,4,2,vehicles,one,1
1,5,2,vehicles,one,1
1,6,2,vegetables,one,0
1,7,2,vehicles,one,0.5
1,8,2,vehicles,one,0
1,9,2,vehicles,one,0.5
1,10,2,animals,one,0
1,11,2,vehicles,one,1
1,12,2,vehicles,one,0
1,13,2,vehicles,one,0.5
1,14,2,animals,one,0
1,15,2,vegetables,one,0
1,16,2,vehicles,one,0
1,17,2,animals,one,0
1,18,2,vehicles,one,1
1,19,2,vegetables,one,1
1,20,2,vegetables,one,1
1,21,2,vehicles,one,0
1,22,2,vehicles,one,0
1,23,2,animals,one,1
1,24,2,vegetables,one,1
1,25,2,animals,one,1
1,26,2,vegetables,one,1
1,27,2,vegetables,one,1
1,28,2,animals,one,0
1,29,2,vehicles,one,1
1,30,2,vehicles,one,1
1,31,2,animals,one,0
1,32,2,animals,one,1
1,33,2,animals,one,1
1,34,2,vegetables,one,0
1,35,2,animals,one,0
1,36,2,animals,one,1
1,37,2,vehicles,one,0
1,38,2,vehicles,one,0
1,39,2,vehicles,one,0.5
1,40,2,animals,one,1
1,41,2,animals,one,1
1,42,2,vehicles,one,1
1,43,2,vehicles,one,1
1,44,2,vehicles,one,1
1,45,2,animals,one,0
1,46,2,vegetables,one,0.5
1,47,2,animals,one,1
1,48,2,animals,one,0
1,49,2,vehicles,one,1
1,50,2,vehicles,one,0
1,1,5,animals,three_basic,0
1,2,5,vegetables,three_superordinate,1
1,3,5,vehicles,three_subordinate,0
1,4,5,animals,three_subordinate,0
1,5,5,vehicles,three_superordinate,1
1,6,5,vehicles,three_basic,0
1,7,5,vegetables,three_subordinate,0
1,8,5,animals,three_subordinate,0
1,9,5,animals,three_basic,1
1,10,5,vegetables,three_superordinate,1
1,11,5,vegetables,three_basic,1
1,12,5,vegetables,three_basic,1
1,13,5,vehicles,three_subordinate,0
1,14,5,vegetables,three_basic,0
1,15,5,vehicles,three_superordinate,1
1,16,5,vehicles,three_superordinate,1
1,17,5,vehicles,three_superordinate,0
1,18,5,animals,three_basic,1
1,19,5,vegetables,three_superordinate,1
1,20,5,animals,three_basic,1
1,21,5,animals,three_basic,1
1,22,5,vehicles,three_subordinate,0
1,23,5,animals,three_superordinate,1
1,24,5,animals,three_basic,1
1,25,5,vehicles,three_basic,1
1,26,5,vegetables,three_superordinate,1
1,27,5,animals,three_basic,1
1,28,5,animals,three_subordinate,0
1,29,5,vegetables,three_superordinate,1
1,30,5,animals,three_superordinate,1
1,31,5,vegetables,three_basic,1
1,32,5,vegetables,three_subordinate,1
1,33,5,animals,three_subordinate,0
1,34,5,vegetables,three_subordinate,0
1,35,5,vegetables,three_superordinate,1
1,36,5,animals,three_subordinate,0
1,37,5,animals,three_subordinate,0
1,38,5,vehicles,three_basic,1
1,39,5,animals,three_basic,1
1,40,5,animals,three_superordinate,1
1,41,5,vehicles,three_basic,1
1,42,5,vehicles,three_subordinate,0
1,43,5,animals,three_basic,1
1,44,5,animals,three_superordinate,1
1,45,5,vehicles,three_superordinate,0
1,46,5,vehicles,three_superordinate,1
1,47,5,vegetables,three_subordinate,0
1,48,5,animals,three_basic,1
1,49,5,animals,three_subordinate,0.5
1,50,5,vegetables,three_superordinate,1
1,1,4,vegetables,three_superordinate,0
1,2,4,vegetables,three_subordinate,1
1,3,4,vehicles,three_basic,0.5
1,4,4,vehicles,three_subordinate,0
1,5,4,animals,three_subordinate,0
1,6,4,vehicles,three_subordinate,0
1,7,4,animals,three_basic,1
1,8,4,vehicles,three_superordinate,1
1,9,4,vegetables,three_basic,1
1,10,4,vegetables,three_basic,1
1,11,4,animals,three_subordinate,0
1,12,4,vehicles,three_subordinate,0
1,13,4,vegetables,three_superordinate,1
1,14,4,animals,three_superordinate,0.5
1,15,4,animals,three_subordinate,0
1,16,4,animals,three_superordinate,1
1,17,4,animals,three_basic,0
1,18,4,animals,three_subordinate,0
1,19,4,animals,three_superordinate,0.5
1,20,4,animals,three_subordinate,0
1,21,4,vehicles,three_subordinate,0
1,22,4,vegetables,three_basic,1
1,23,4,vegetables,three_subordinate,0
1,24,4,animals,three_subordinate,0
1,25,4,vehicles,three_subordinate,1
1,26,4,animals,three_superordinate,1
1,27,4,vegetables,three_superordinate,1
1,28,4,animals,three_basic,1
1,29,4,vehicles,three_subordinate,1
1,30,4,vehicles,three_basic,1
1,31,4,vegetables,three_superordinate,1
1,32,4,animals,three_basic,1
1,33,4,vehicles,three_subordinate,0
1,34,4,vegetables,three_superordinate,0
1,35,4,animals,three_basic,1
1,36,4,vehicles,three_subordinate,0
1,37,4,vehicles,three_subordinate,0
1,38,4,animals,three_subordinate,0
1,39,4,vegetables,three_superordinate,1
1,40,4,vegetables,three_superordinate,1
1,41,4,animals,three_basic,1
1,42,4,vehicles,three_basic,1
1,43,4,vehicles,three_subordinate,1
1,44,4,animals,three_subordinate,0
1,45,4,vehicles,three_subordinate,0
1,46,4,vegetables,three_basic,1
1,47,4,vehicles,three_basic,1
1,48,4,vegetables,three_superordinate,1
1,49,4,vegetables,three_subordinate,0.5
1,50,4,vegetables,three_subordinate,0
1,1,7,vehicles,three_basic,1
1,2,7,vegetables,three_basic,1
1,3,7,vegetables,three_subordinate,0
1,4,7,vehicles,three_basic,1
1,5,7,vegetables,three_subordinate,0
1,6,7,vehicles,three_superordinate,0
1,7,7,vehicles,three_superordinate,1
1,8,7,vegetables,three_basic,1
1,9,7,animals,three_subordinate,0
1,10,7,vehicles,three_basic,1
1,11,7,vehicles,three_subordinate,0
1,12,7,vegetables,three_superordinate,1
1,13,7,animals,three_basic,1
1,14,7,vegetables,three_superordinate,0.5
1,15,7,vegetables,three_subordinate,0.5
1,16,7,vegetables,three_superordinate,1
1,17,7,vegetables,three_superordinate,0
1,18,7,vehicles,three_superordinate,1
1,19,7,vehicles,three_basic,1
1,20,7,vegetables,three_basic,1
1,21,7,animals,three_subordinate,0
1,22,7,animals,three_superordinate,1
1,23,7,animals,three_subordinate,0
1,24,7,vegetables,three_superordinate,1
1,25,7,vegetables,three_basic,1
1,26,7,vehicles,three_superordinate,1
1,27,7,animals,three_superordinate,1
1,28,7,vegetables,three_basic,1
1,29,7,vegetables,three_basic,1
1,30,7,vegetables,three_subordinate,0
1,31,7,vehicles,three_subordinate,0
1,32,7,animals,three_subordinate,1
1,33,7,vehicles,three_superordinate,1
1,34,7,animals,three_subordinate,0
1,35,7,vegetables,three_basic,1
1,36,7,vegetables,three_subordinate,0
1,37,7,vegetables,three_superordinate,0.5
1,38,7,vegetables,three_basic,1
1,39,7,vehicles,three_subordinate,1
1,40,7,animals,three_basic,1
1,41,7,vegetables,three_superordinate,1
1,42,7,vegetables,three_superordinate,1
1,43,7,animals,three_subordinate,0
1,44,7,vegetables,three_basic,1
1,45,7,vegetables,three_superordinate,0
1,46,7,animals,three_basic,1
1,47,7,animals,three_superordinate,1
1,48,7,vehicles,three_subordinate,0
1,49,7,vehicles,three_subordinate,0.5
1,50,7,vehicles,three_subordinate,0
1,1,6,animals,three_subordinate,0
1,2,6,vehicles,three_basic,1
1,3,6,animals,three_subordinate,0
1,4,6,animals,three_basic,1
1,5,6,vehicles,three_basic,1
1,6,6,animals,three_superordinate,0
1,7,6,vehicles,three_basic,1
1,8,6,animals,three_superordinate,1
1,9,6,vehicles,three_superordinate,1
1,10,6,animals,three_superordinate,1
1,11,6,vegetables,three_superordinate,1
1,12,6,vegetables,three_subordinate,0
1,13,6,vehicles,three_basic,1
1,14,6,vehicles,three_basic,1
1,15,6,vehicles,three_basic,1
1,16,6,vegetables,three_basic,1
1,17,6,vehicles,three_basic,0
1,18,6,vegetables,three_basic,1
1,19,6,vehicles,three_superordinate,1
1,20,6,vegetables,three_subordinate,1
1,21,6,vehicles,three_superordinate,1
1,22,6,animals,three_basic,1
1,23,6,vehicles,three_subordinate,0
1,24,6,vegetables,three_subordinate,0
1,25,6,animals,three_basic,1
1,26,6,animals,three_basic,1
1,27,6,vehicles,three_superordinate,1
1,28,6,vehicles,three_basic,1
1,29,6,animals,three_subordinate,1
1,30,6,vegetables,three_basic,1
1,31,6,vehicles,three_basic,1
1,32,6,vehicles,three_superordinate,1
1,33,6,vegetables,three_superordinate,1
1,34,6,animals,three_superordinate,1
1,35,6,vehicles,three_basic,1
1,36,6,vehicles,three_superordinate,1
1,37,6,vehicles,three_superordinate,0
1,38,6,vehicles,three_superordinate,1
1,39,6,animals,three_superordinate,1
1,40,6,vehicles,three_subordinate,0
1,41,6,vegetables,three_subordinate,1
1,42,6,animals,three_basic,1
1,43,6,vegetables,three_superordinate,1
1,44,6,animals,three_basic,1
1,45,6,vehicles,three_basic,0
1,46,6,animals,three_subordinate,0
1,47,6,vehicles,three_subordinate,0
1,48,6,vehicles,three_basic,0.5
1,49,6,vegetables,three_basic,0.5
1,50,6,animals,three_subordinate,0
1,1,10,vehicles,three_superordinate,1
1,2,10,vehicles,three_subordinate,0
1,3,10,vegetables,three_basic,1
1,4,10,vegetables,three_subordinate,0
1,5,10,vehicles,three_subordinate,0
1,6,10,vegetables,three_basic,1
1,7,10,animals,three_subordinate,0
1,8,10,vegetables,three_subordinate,0
1,9,10,vegetables,three_superordinate,1
1,10,10,vehicles,three_subordinate,0
1,11,10,vehicles,three_basic,1
1,12,10,vehicles,three_superordinate,1
1,13,10,vehicles,three_superordinate,1
1,14,10,vehicles,three_superordinate,0
1,15,10,animals,three_basic,1
1,16,10,vehicles,three_subordinate,0
1,17,10,animals,three_subordinate,0
1,18,10,vegetables,three_superordinate,1
1,19,10,vegetables,three_basic,1
1,20,10,vehicles,three_superordinate,1
1,21,10,vehicles,three_basic,1
1,22,10,vehicles,three_superordinate,1
1,23,10,vehicles,three_basic,1
1,24,10,vegetables,three_basic,1
1,25,10,vegetables,three_superordinate,1
1,26,10,vegetables,three_subordinate,0
1,27,10,vehicles,three_subordinate,0
1,28,10,vegetables,three_subordinate,1
1,29,10,animals,three_basic,1
1,30,10,animals,three_basic,1
1,31,10,animals,three_superordinate,1
1,32,10,animals,three_superordinate,1
1,33,10,vegetables,three_basic,1
1,34,10,vehicles,three_basic,1
1,35,10,animals,three_subordinate,0
1,36,10,animals,three_superordinate,1
1,37,10,animals,three_superordinate,0
1,38,10,animals,three_superordinate,1
1,39,10,vegetables,three_subordinate,1
1,40,10,vehicles,three_superordinate,1
1,41,10,vehicles,three_subordinate,0
1,42,10,vegetables,three_subordinate,1
1,43,10,vegetables,three_subordinate,1
1,44,10,vehicles,three_subordinate,0
1,45,10,animals,three_basic,0
1,46,10,vehicles,three_subordinate,0
1,47,10,animals,three_subordinate,0
1,48,10,animals,three_subordinate,0
1,49,10,animals,three_superordinate,0
1,50,10,animals,three_superordinate,1
