exp,subids,trial_num,category,condition,proportion_basic_level_responses
1,1,9,vehicles,three_subordinate,0
1,2,9,animals,three_basic,1
1,3,9,animals,three_superordinate,1
1,4,9,vehicles,three_superordinate,1
1,5,9,animals,three_superordinate,1
1,6,9,vegetables,three_subordinate,0
1,7,9,vegetables,three_basic,0.5
1,8,9,animals,three_basic,1
1,9,9,animals,three_superordinate,1
1,10,9,animals,three_subordinate,0
1,11,9,vehicles,three_superordinate,1
1,12,9,vehicles,three_basic,1
1,13,9,vegetables,three_basic,1
1,14,9,animals,three_basic,0
1,15,9,vegetables,three_basic,1
1,16,9,vehicles,three_basic,1
1,17,9,vegetables,three_subordinate,0
1,18,9,vegetables,three_subordinate,0
1,19,9,animals,three_basic,1
1,20,9,vegetables,three_superordinate,1
1,21,9,vegetables,three_basic,1
1,22,9,vegetables,three_subordinate,0
1,23,9,vegetables,three_superordinate,1
1,24,9,vehicles,three_subordinate,1
1,25,9,animals,three_superordinate,1
1,26,9,vehicles,three_basic,0.5
1,27,9,vehicles,three_basic,1
1,28,9,vegetables,three_superordinate,1
1,29,9,vegetables,three_subordinate,1
1,30,9,vehicles,three_superordinate,1
1,31,9,vehicles,three_superordinate,1
1,32,9,vehicles,three_subordinate,1
1,33,9,animals,three_basic,1
1,34,9,vehicles,three_superordinate,1
1,35,9,animals,three_superordinate,1
1,36,9,animals,three_basic,1
1,37,9,animals,three_basic,0
1,38,9,vegetables,three_subordinate,0
1,39,9,vehicles,three_superordinate,1
1,40,9,animals,three_subordinate,0
1,41,9,animals,three_superordinate,1
1,42,9,vehicles,three_superordinate,1
1,43,9,vehicles,three_basic,1
1,44,9,vegetables,three_superordinate,1
1,45,9,vegetables,three_basic,1
1,46,9,vegetables,three_subordinate,0
1,47,9,vehicles,three_superordinate,1
1,48,9,animals,three_superordinate,1
1,49,9,vehicles,three_superordinate,0.5
1,50,9,vehicles,three_superordinate,1
1,1,8,vegetables,three_basic,1
1,2,8,vehicles,three_superordinate,1
1,3,8,vehicles,three_superordinate,0.5
1,4,8,vegetables,three_superordinate,1
1,5,8,vegetables,three_superordinate,1
1,6,8,vegetables,three_superordinate,0
1,7,8,vegetables,three_superordinate,1
1,8,8,vegetables,three_superordinate,1
1,9,8,vegetables,three_subordinate,0
1,10,8,vehicles,three_superordinate,1
1,11,8,animals,three_superordinate,1
1,12,8,animals,three_superordinate,1
1,13,8,animals,three_subordinate,0
1,14,8,animals,three_subordinate,0
1,15,8,vegetables,three_superordinate,1
1,16,8,vegetables,three_subordinate,0
1,17,8,vegetables,three_basic,1
1,18,8,vehicles,three_subordinate,0
1,19,8,vegetables,three_subordinate,0
1,20,8,vehicles,three_basic,1
1,21,8,animals,three_superordinate,1
1,22,8,animals,three_subordinate,0
1,23,8,vehicles,three_superordinate,1
1,24,8,vehicles,three_superordinate,0.5
1,25,8,animals,three_subordinate,1
1,26,8,vehicles,three_subordinate,0
1,27,8,animals,three_subordinate,0
1,28,8,animals,three_superordinate,1
1,29,8,vehicles,three_superordinate,1
1,30,8,vehicles,three_subordinate,1
1,31,8,vegetables,three_subordinate,0
1,32,8,vehicles,three_basic,1
1,33,8,animals,three_superordinate,1
1,34,8,vehicles,three_subordinate,0
1,35,8,vegetables,three_subordinate,0
1,36,8,vegetables,three_basic,1
1,37,8,vehicles,three_basic,1
1,38,8,vehicles,three_subordinate,0
1,39,8,animals,three_subordinate,0
1,40,8,vegetables,three_basic,1
1,41,8,vegetables,three_basic,1
1,42,8,animals,three_superordinate,1
1,43,8,vegetables,three_basic,1
1,44,8,vehicles,three_basic,1
1,45,8,vegetables,three_subordinate,0
1,46,8,vehicles,three_basic,1
1,47,8,vegetables,three_superordinate,1
1,48,8,vegetables,three_subordinate,0
1,49,8,vehicles,three_basic,0.5
1,50,8,vehicles,three_basic,1
1,1,12,animals,three_superordinate,1
1,2,12,animals,three_subordinate,0
1,3,12,vegetables,three_superordinate,1
1,4,12,vegetables,three_basic,1
1,5,12,animals,three_basic,1
1,6,12,animals,three_basic,0
1,7,12,vehicles,three_subordinate,0
1,8,12,vehicles,three_subordinate,0
1,9,12,vehicles,three_subordinate,0
1,10,12,animals,three_basic,1
1,11,12,animals,three_basic,1
1,12,12,animals,three_basic,1
1,13,12,vegetables,three_subordinate,0
1,14,12,vehicles,three_subordinate,0
1,15,12,animals,three_superordinate,1
1,16,12,animals,three_subordinate,0
1,17,12,animals,three_superordinate,0
1,18,12,vehicles,three_basic,0.5
1,19,12,vehicles,three_subordinate,0
1,20,12,vehicles,three_subordinate,0
1,21,12,vegetables,three_superordinate,1
1,22,12,vehicles,three_basic,1
1,23,12,vegetables,three_basic,1
1,24,12,animals,three_superordinate,1
1,25,12,vegetables,three_subordinate,1
1,26,12,animals,three_subordinate,0
1,27,12,vegetables,three_subordinate,1
1,28,12,vehicles,three_superordinate,1
1,29,12,animals,three_superordinate,1
1,30,12,animals,three_subordinate,0
1,31,12,animals,three_subordinate,0
1,32,12,vegetables,three_basic,1
1,33,12,vehicles,three_basic,1
1,34,12,vegetables,three_basic,1
1,35,12,vehicles,three_superordinate,1
1,36,12,vehicles,three_basic,1
1,37,12,vegetables,three_subordinate,1
1,38,12,vegetables,three_superordinate,1
1,39,12,vehicles,three_basic,1
1,40,12,vegetables,three_subordinate,0
1,41,12,animals,three_subordinate,0
