Sort.order,Major.area.region.country.or.area.of.destination,Notes,Code,Type.of.data.(a),year_1990,year_1995,year_2000,year_2005,year_2010,year_2015,year_2019
1,WORLD,NA,900,NA,153011473,161316895,173588441,191615574,220781909,248861296,271642105
2,UN development groups,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,More developed regions,b,901,NA,82767216,92935095,103961989,116687616,130613460,140643317,152069261
4,Less developed regions,c,902,NA,70244257,68381800,69626452,74927958,90168449,108217979,119572844
5,Least developed countries,d,941,NA,11060221,11681777,10063948,9833150,10432671,13631349,16289023
6,Less developed regions excluding least developed countries,NA,934,NA,59184036,56700023,59562504,65094808,79735778,94586630,103283821
7,World Bank income groups,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,High-income countries,e,1503,NA,77802868,89346612,103029727,120543730,144282576,160366582,175811829
9,Middle-income countries,e,1517,NA,65124366,61040029,61158978,61623367,65980003,76123099,82237681
10,Upper-middle-income countries,e,1502,NA,33285549,33494586,34642477,36657488,40238761,49653277,54279436
11,Lower-middle-income countries,e,1501,NA,31838817,27545443,26516501,24965879,25741242,26469822,27958245
12,Low-income countries,e,1500,NA,9790238,10577086,8975609,8969212,10040501,11869725,13072099
13,No income group available,e,1518,NA,294001,353168,424127,479265,478829,501890,520496
14,Geographic regions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Africa,NA,903,NA,15689666,16357077,15051677,15969835,17804198,23476251,26529334
16,Asia,NA,935,NA,48209949,46418044,49394322,53439306,65938712,77231760,83559197
17,Europe,NA,908,NA,49608231,53489829,56858788,63594822,70678025,75008219,82304539
18,Latin America and the Caribbean,NA,904,NA,7161371,6688710,6570729,7224942,8262433,9441679,11673288
19,Northern America,NA,905,NA,27610408,33340948,40351694,45363257,50970861,55633443,58647822
20,Oceania,NA,909,NA,4731848,5022287,5361231,6023412,7127680,8069944,8927925
21,Sustainable Development Goal (SDG) regions,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,SUB-SAHARAN AFRICA,NA,947,NA,13286341,14275437,13151229,14222466,15855936,21337333,23573485
23,Eastern Africa,NA,910,NA,5959183,4977644,4847119,4762817,4757899,6716524,7908176
24,Burundi,NA,108,B R,333110,254853,125628,172874,235259,289810,321018
25,Comoros,NA,174,B,14079,13939,13799,13209,12618,12555,12504
26,Djibouti,NA,262,B R,122221,99774,100507,92091,101575,112351,115341
27,Eritrea,NA,232,I,11848,12400,12952,14314,15676,15941,16101
28,Ethiopia,NA,231,B R,1155390,806904,611384,514242,568748,1161642,1253083
29,Kenya,NA,404,B R,298089,618745,707852,773354,954925,1126886,1044854
30,Madagascar,NA,450,C,23917,21177,23541,26058,28905,32075,34934
31,Malawi,NA,454,B R,1127724,241624,232620,221661,217722,232803,247652
32,Mauritius,1,480,C,3613,7493,15543,19647,24836,28585,28849
33,Mayotte,NA,175,B,15229,26316,45474,63176,72757,73992,74643
34,Mozambique,NA,508,B R,122332,168256,195702,264679,306471,321794,334665
35,Réunion,NA,638,B,57210,77159,100678,115076,123029,127209,129153
36,Rwanda,NA,646,B R,160024,215735,347076,423187,426901,514647,539932
37,Seychelles,NA,690,B,3721,5148,6574,8997,11420,12791,12926
38,Somalia,NA,706,I R,478294,19527,20097,20670,48106,40990,52131
39,South Sudan,NA,728,B R,NA,NA,NA,NA,257905,844122,865552
40,Uganda,NA,800,B R,544273,606987,584280,593308,492930,851175,1734166
41,United Republic of Tanzania,2,834,B R,574025,1106043,949600,771153,309847,384567,509166
42,Zambia,NA,894,B R,279463,244338,343703,252895,149962,132107,170249
43,Zimbabwe,NA,716,B R,634621,431226,410109,402226,398307,400482,411257
44,Middle Africa,NA,911,NA,1461155,2662490,1775284,1958781,2430300,3494415,3785279
45,Angola,NA,24,B R,33517,39813,46108,61329,332126,632178,669479
46,Cameroon,NA,120,B,265967,244791,227242,265503,291474,508346,505692
47,Central African Republic,NA,140,C,67234,99712,123529,94449,93466,81598,90649
48,Chad,NA,148,B R,74342,89584,104825,352062,416924,466968,512230
49,Congo,NA,178,B,129391,191635,305880,318724,425173,390142,402142
50,Democratic Republic of the Congo,NA,180,B R,754194,1816963,744387,622869,588950,824492,963833
51,Equatorial Guinea,NA,226,C,2740,3629,4517,6588,8658,209611,227617
52,Gabon,NA,266,C,128188,171427,214431,233824,270829,378686,411463
53,Sao Tome and Principe,NA,678,C,5582,4936,4365,3433,2700,2394,2174
54,Southern Africa,NA,913,NA,1395265,1201708,1267695,1582674,2352292,4060505,4481651
55,Botswana,NA,72,B,27510,40168,74934,84614,94614,103268,110596
56,Eswatini,NA,748,B R,74991,35157,34084,33392,32637,32352,32310
57,Lesotho,NA,426,C R,8240,7204,6167,6290,6414,6572,6928
58,Namibia,NA,516,B,120641,115372,135547,107347,103826,101618,107561
59,South Africa,NA,710,B R,1163883,1003807,1016963,1351031,2114801,3816695,4224256
60,Western Africa,NA,914,NA,4470738,5433595,5261131,5918194,6315445,7065889,7398379
61,Benin,NA,204,C B R,76751,105703,134655,221889,309124,366284,390112
62,Burkina Faso,NA,854,B R,349652,464104,520363,597658,674438,704676,718338
63,Cabo Verde,NA,132,B,8931,9979,11027,12700,14373,14924,15664
64,Côte d'Ivoire,NA,384,C B,1816426,2076394,2163644,2265090,2366537,2467984,2549141
65,Gambia,NA,270,B,118123,150890,182514,181905,185763,192540,215406
66,Ghana,NA,288,B,164851,252879,191601,304436,337017,414744,466780
67,Guinea,NA,324,C B R,403621,774505,560075,229611,177998,126386,120642
68,Guinea-Bissau,NA,624,B R,15368,27961,20450,20736,21061,22333,26916
69,Liberia,NA,430,B,94964,208563,151868,87188,99129,113779,94448
70,Mali,NA,466,B R,160736,176187,189475,256797,339375,420504,468230
71,Mauritania,NA,478,C R,111650,89562,57366,58119,84679,166552,172987
72,Niger,NA,562,B R,115464,145999,122260,124461,126464,252998,294161
73,Nigeria,NA,566,C R,456621,462999,487882,969294,988679,1199115,1256408
