Sort.order,Major.area.region.country.or.area.of.destination,Notes,Code,Type.of.data.(a),year_1990,year_1995,year_2000,year_2005,year_2010,year_2015,year_2019
74,Saint Helena,3,654,C,178,117,108,163,248,377,433
75,Senegal,NA,686,B R,270410,287654,231901,238298,256092,266496,275239
76,Sierra Leone,NA,694,B R,222148,98516,97974,146050,79055,58813,54332
77,Togo,NA,768,C R,84844,101583,137968,203799,255413,277384,279142
78,NORTHERN AFRICA AND WESTERN ASIA,NA,1833,NA,17608769,18912064,20321397,23281297,32562553,42052792,48591390
79,Northern Africa,NA,912,NA,2403325,2081640,1900448,1747369,1948262,2138918,2955849
80,Algeria,NA,12,B R,273954,262032,250110,197422,216964,239473,249075
81,Egypt,NA,818,B R,173833,166955,184774,285006,310017,353641,504053
82,Libya,NA,434,C,457075,508041,567436,625212,683998,771146,818216
83,Morocco,NA,504,C,54895,50360,53034,54379,70909,92424,98574
84,Sudan,4,729,B R,1402896,1053396,805086,546419,618709,620523,1223092
85,Tunisia,NA,788,C,37984,37867,36719,35040,43172,56532,57455
86,Western Sahara,NA,732,I,2688,2989,3289,3891,4493,5179,5384
87,Western Asia,NA,922,NA,15205444,16830424,18420949,21533928,30614291,39913874,45635541
88,Armenia,NA,51,B R,658789,693999,657900,469119,211147,191199,190159
89,Azerbaijan,5,31,B R,360600,344070,327540,302220,276901,264241,253887
90,Bahrain,NA,48,C,173212,205979,239361,404018,657856,704137,741161
91,Cyprus,6,196,B,43805,61941,80076,117165,191866,192020,191922
92,Georgia,7,268,B,304470,152235,76117,72311,73034,76685,79035
93,Iraq,NA,368,C R,83638,199460,210525,132915,117389,359381,368062
94,Israel,NA,376,B R,1632704,1792185,1851309,1889503,1950615,2011727,1956346
95,Jordan,NA,400,C R,1146349,1537097,1927845,2325414,2722983,3112026,3346703
96,Kuwait,NA,414,C R,1074391,921954,1127640,1333327,1871537,2866136,3034845
97,Lebanon,NA,422,B R,523693,608303,692913,756784,820655,1973204,1863873
98,Oman,NA,512,C,304000,539643,623608,666160,816221,1856226,2286226
99,Qatar,NA,634,C,309753,361673,359697,646026,1456413,1687640,2229688
100,Saudi Arabia,NA,682,C R,4998445,5122702,5263387,6501819,8429956,10771366,13122338
101,State of Palestine,8,275,B,288332,281767,275202,266617,258032,255507,253735
102,Syrian Arab Republic,NA,760,C R,714140,830610,834916,878308,1787561,871174,867848
103,Turkey,NA,792,B R,1163686,1216173,1280963,1319236,1367034,4346197,5876829
104,United Arab Emirates,NA,784,C R,1306574,1824118,2447010,3281115,7316697,7995126,8587256
105,Yemen,NA,887,CR,118863,136515,144940,171871,288394,379882,385628
106,CENTRAL AND SOUTHERN ASIA,NA,921,NA,26168623,21247814,20467161,18958191,19576330,19443802,19627025
107,Central Asia,NA,5500,NA,6630683,5904795,5189082,5235877,5264938,5392792,5543398
108,Kazakhstan,NA,398,B,3619200,3251968,2874194,3103027,3334937,3546060,3705556
109,Kyrgyzstan,NA,417,B,623083,518338,389824,309399,232065,204382,200260
110,Tajikistan,NA,762,B,428900,348347,299499,280466,279808,275101,274071
111,Turkmenistan,NA,795,B,306500,273565,219067,213053,197979,196376,195127
112,Uzbekistan,NA,860,B,1653000,1512577,1406498,1329932,1220149,1170873,1168384
113,Southern Asia,NA,5501,NA,19537940,15343019,15278079,13722314,14311392,14051010,14083627
114,Afghanistan,NA,4,B,57686,71522,75917,87300,102246,489749,149762
115,Bangladesh,NA,50,B R,881617,934735,987853,1166700,1345546,1422805,2185613
116,Bhutan,NA,64,B,23807,27972,32137,40279,48420,51106,53254
117,India,NA,356,B R,7594801,6952238,6411331,5923945,5439758,5240960,5154737
118,Iran (Islamic Republic of),NA,364,B R,4291601,2937668,2803805,2568930,2761561,2726420,2682214
119,Maldives,NA,462,C,8689,18510,27092,45045,54659,64273,69249
120,Nepal,NA,524,B R,429974,690225,717900,679457,578657,509471,490802
121,Pakistan,NA,586,B R,6208204,3669308,4181912,3171132,3941586,3506520,3257978
122,Sri Lanka,NA,144,B R,41561,40841,40132,39526,38959,39706,40018
123,EASTERN AND SOUTH-EASTERN ASIA,NA,1832,NA,6835882,8339806,10506212,12947187,15748091,17874084,18296631
124,Eastern Asia,NA,906,NA,3959266,4639749,5393004,6228684,7062527,7636397,8105764
125,China,9,156,C,376361,442198,508034,678947,849861,978046,1030871
126,China Hong Kong SAR,10,344,B,2218473,2443798,2669122,2721235,2779950,2838665,2942254
127,China Macao SAR,11,446,B,205047,224929,240791,279308,318506,376066,399572
128,Dem. People's Republic of Korea,NA,408,I,34103,35143,36183,40097,44010,48458,49393
129,Japan,NA,392,C,1075317,1362371,1686444,2011555,2134151,2232189,2498891
130,Mongolia,NA,496,C,6718,7424,8206,11477,16062,19886,21128
131,Republic of Korea,NA,410,C,43247,123886,244224,486065,919987,1143087,1163655
132,South-Eastern Asia,NA,920,NA,2876616,3700057,5113208,6718503,8685564,10237687,10190867
133,Brunei Darussalam,NA,96,B,73200,84748,96296,98441,100587,102733,110641
134,Cambodia,NA,116,B,38375,92230,146085,114031,81977,73963,78649
135,Indonesia,NA,360,B R,465612,378960,292307,289568,305416,338124,353135
136,Lao People's Democratic Republic,NA,418,C R,22866,23526,21948,20371,32955,45538,48275
137,Malaysia,12,458,C R,695920,937368,1463598,1918504,2417395,3280681,3430380
138,Myanmar,NA,104,C,133545,113663,98011,83025,76414,73309,75998
139,Philippines,NA,608,C R,154071,207345,318095,257468,208599,211862,218530
140,Singapore,NA,702,B,727262,991492,1351691,1710594,2164794,2543638,2155653
141,Thailand,NA,764,B R,528693,809720,1257821,2163447,3224131,3486526,3635085
142,Timor-Leste,NA,626,B,8954,9743,10602,11286,11540,8520,8417
143,Viet Nam,NA,704,C R,28118,51262,56754,51768,61756,72793,76104
144,LATIN AMERICA AND THE CARIBBEAN,NA,1830,NA,7161371,6688710,6570729,7224942,8262433,9441679,11673288
145,Caribbean,NA,915,NA,1056483,1148720,1247863,1311361,1326879,1489916,1524793
146,Anguilla,NA,660,B,2570,3317,4063,4684,5103,5470,5679
147,Antigua and Barbuda,NA,28,B,12029,17550,23071,24741,26412,28083,29207
148,Aruba,NA,533,B,14444,22274,30104,32540,34327,36114,36532
149,Bahamas,NA,44,B,26855,31654,36454,45595,54736,59306,62962
150,Barbados,NA,52,B,24024,26224,28424,30624,32825,34475,34807
151,British Virgin Islands,NA,92,B,8035,10046,12958,15016,17074,19132,20778
152,Bonaire Sint Eustatius and Saba,13,535,B,38410,42258,46105,62205,11445,13002,15484
153,Cayman Islands,NA,136,C,9315,12666,19176,20679,24057,26177,28985
154,Cuba,NA,192,B,34555,26187,17818,11935,6640,5312,4886
155,Curaçao,NA,531,B,NA,NA,NA,NA,34627,37611,40883
156,Dominica,NA,212,B,2519,3121,3723,4744,8110,8093,8264
157,Dominican Republic,NA,214,B,291151,323381,355611,376001,393720,549289,567648
158,Grenada,NA,308,B,4263,5544,6825,6902,6980,7057,7124
159,Guadeloupe,14,312,B,65944,74566,83188,89065,94942,98507,100030
160,Haiti,NA,332,B,19084,18129,17222,16360,17178,18036,18756
161,Jamaica,NA,388,B,20475,22713,24952,24314,23677,23167,23468
162,Martinique,NA,474,B,38705,46599,54492,57034,59575,61731,61647
163,Montserrat,NA,500,B,2013,1612,1211,1244,1291,1351,1375
164,Puerto Rico,NA,630,B,321909,338067,355038,352144,304969,280494,266828
165,Saint Kitts and Nevis,NA,659,B,3210,4248,5871,6682,7245,7443,7587
166,Saint Lucia,NA,662,B,5305,7155,9871,9842,9051,8673,8383
167,Saint Vincent and the Grenadines,NA,670,B,3970,4135,4307,4436,4569,4637,4692
168,Sint Maarten (Dutch part),NA,534,B,NA,NA,NA,NA,26200,27295,28260
169,Trinidad and Tobago,NA,780,B,50666,45994,41753,44812,48226,50021,59249
170,Turks and Caicos Islands,NA,796,B,5062,7039,9015,13115,17216,22719,24534
171,United States Virgin Islands,NA,850,B,51970,54241,56611,56647,56684,56721,56745
172,Central America,NA,916,NA,1829911,1298916,1107577,1385713,1749940,1878860,1927688
173,Belize,NA,84,B R ,30404,33446,36488,41424,46360,54674,59998
174,Costa Rica,NA,188,B R,417628,364287,310946,358175,405404,411697,417768
175,El Salvador,NA,222,B R,47360,39537,31713,36019,40324,42045,42617
176,Guatemala,NA,320,B R,264257,156188,48119,57252,66384,78352,80421
177,Honduras,NA,340,B R,270423,149442,28461,27875,27288,38317,38933
178,Mexico,NA,484,B R,695674,458549,538051,712487,969538,1028803,1060707
179,Nicaragua,NA,558,B R,41421,26619,30389,34918,37333,40262,42172
180,Panama,NA,591,B,62744,70848,83410,117563,157309,184710,185072
181,South America,NA,931,NA,4274977,4241074,4215289,4527868,5185614,6072903,8220807
182,Argentina,NA,32,B,1649919,1595069,1540219,1673088,1805957,2086302,2212879
183,Bolivia (Plurinational State of),NA,68,B,73758,83598,92658,107745,122846,142989,156114
184,Brazil,NA,76,B,798517,741557,684596,638582,592568,716568,807006
185,Chile,NA,152,B,107501,142417,177332,276360,375388,639724,939992
186,Colombia,NA,170,B,104277,106943,109609,107612,124271,139134,1142319
187,Ecuador,NA,218,B R,78663,115093,151523,187404,325366,387513,381507
188,Falkland Islands (Malvinas),15,238,B,855,868,1067,1166,1436,1571,1902
189,French Guiana,NA,254,B,63612,70131,76649,86468,96288,106108,117372
190,Guyana,NA,328,B,4095,6352,8610,10868,13126,15384,15699
191,Paraguay,NA,600,B,195884,186570,176608,168243,160299,156462,160519
192,Peru,NA,604,B,56688,56732,66300,77877,104706,154774,782169
193,Suriname,NA,740,C,18083,22320,27506,33664,39713,43127,46157
194,Uruguay,NA,858,B,98116,93428,88874,82317,76303,78799,81482
195,Venezuela (Bolivarian Republic of),NA,862,B,1025009,1019996,1013738,1076474,1347347,1404448,1375690
196,OCEANIA,NA,909,NA,4731848,5022287,5361231,6023412,7127680,8069944,8927925
197,Australia / New Zealand,NA,927,NA,4473260,4741947,5065063,5717982,6830423,7769466,8618009
198,Australia,16,36,B,3955213,4153330,4386250,4878030,5882980,6729730,7549270
199,New Zealand,NA,554,B,518047,588617,678813,839952,947443,1039736,1068739
200,Melanesia,NA,928,NA,91200,96828,95281,104017,110685,119344,123564
201,Fiji,NA,242,B,13283,13001,12719,12435,13351,13751,14038
202,New Caledonia,NA,540,B,37673,43662,49651,55405,61158,68881,72537
203,Papua New Guinea,NA,598,C R,33710,33526,26304,30106,30425,30940,31212
204,Solomon Islands,NA,90,B,4226,4178,3981,3271,2760,2585,2532
205,Vanuatu,NA,548,B,2308,2461,2626,2800,2991,3187,3245
206,Micronesia,NA,954,NA,108969,118687,130186,128390,115020,113523,117978
207,Guam,NA,316,B,69755,71912,74070,74743,75416,76089,79846
208,Kiribati,NA,296,B,2162,2223,2283,2487,2868,2919,3022
209,Marshall Islands,NA,584,B,1158,1480,1891,2417,3089,3284,3296
210,Micronesia (Fed. States of),NA,583,B,3685,3342,3116,2905,2806,2756,2819
211,Nauru,NA,520,C,2815,2605,2394,2253,1183,1890,2114
212,Northern Mariana Islands,NA,580,B,26593,32376,40122,37542,24168,21648,21815
213,Palau,NA,585,B,2801,4749,6310,6043,5490,4937,5066
214,Polynesia,17,957,NA,58419,64825,70701,73023,71552,67611,68374
215,American Samoa,NA,16,B,21283,23098,24912,24233,23555,23513,23539
216,Cook Islands,NA,184,B,2587,2686,2785,3277,3769,3477,3491
217,French Polynesia,NA,258,B,25830,28360,30329,32286,31640,30058,31205
218,Niue,NA,570,B,461,480,498,522,589,588,588
219,Samoa,NA,882,B,3357,4694,5998,5746,5122,4252,4035
220,Tokelau,NA,772,B,270,266,262,258,429,487,504
221,Tonga,NA,776,B,2911,3274,3684,4301,4604,3954,3752
222,Tuvalu,NA,798,C,318,263,218,209,220,230,238
223,Wallis and Futuna Islands,NA,876,B,1402,1704,2015,2191,1624,1052,1022
224,EUROPE AND NORTHERN AMERICA,NA,1829,NA,77218639,86830777,97210482,108958079,121648886,130641662,140952361
225,EUROPE,NA,917,NA,49608231,53489829,56858788,63594822,70678025,75008219,82304539
226,Eastern Europe,NA,923,NA,21995312,21344124,20435785,19744557,19110686,19841537,20278745
227,Belarus,NA,112,B,1248977,1186282,1123586,1106982,1090378,1082905,1069395
228,Bulgaria,NA,100,B,21510,32435,43360,61074,76287,123803,168516
229,Czechia,NA,203,C,110394,165592,220789,322540,398493,416454,512705
230,Hungary,NA,348,B R,347510,322234,296957,366787,436616,475508,512043
231,Poland,NA,616,B,1127771,964725,825251,722509,642417,619403,655985
232,Republic of Moldova,18,498,B,544162,367231,247828,171122,129488,106374,104713
233,Romania,NA,642,B,135825,135037,134254,145162,177211,281048,462552
234,Russian Federation,NA,643,B,11524948,11928927,11900297,11667588,11194710,11643276,11640559
235,Slovakia,NA,703,B,41295,69323,116376,130491,146319,177624,187984
236,Ukraine,19,804,B,6892920,6172338,5527087,5050302,4818767,4915142,4964293
237,Northern Europe,NA,924,NA,6645605,7194824,7900973,9588814,11344850,13269401,15094924
238,Channel Islands,20,830,B,61660,60519,64301,70941,77581,82307,83833
239,Denmark,NA,208,B,235189,303108,371026,440383,500772,595876,722878
240,Estonia,NA,233,B,381997,315755,249512,233701,217890,194664,190242
241,Faroe Islands,NA,234,B,4285,2900,3593,4583,5096,5485,6454
242,Finland,21,246,B,63255,99729,136203,192169,228481,314856,383116
243,Iceland,NA,352,B,9584,12738,15892,25492,35091,39072,52404
244,Ireland,NA,372,B,227961,226892,350552,589046,730542,759256,833564
245,Isle of Man,NA,833,B,34769,36886,39002,41475,43447,42238,42864
246,Latvia,NA,428,B,646007,538093,430178,376725,313786,265418,237266
247,Lithuania,NA,440,B,349258,273587,214311,201209,160772,136021,117218
248,Norway,22,578,B,192587,233302,292440,361144,526799,746375,867765
249,Sweden,NA,752,B,788767,936022,1003798,1125790,1384929,1676264,2005210
250,United Kingdom,NA,826,B,3650286,4155293,4730165,5926156,7119664,8411569,9552110
251,Southern Europe,NA,925,NA,4340439,6230116,7681653,12004009,16206134,15815447,16503552
252,Albania,NA,8,B,66013,71354,76695,64739,52784,52031,49160
253,Andorra,NA,20,C,38891,44206,42147,50298,52053,42264,45102
254,Bosnia and Herzegovina,NA,70,I R,56000,69476,82952,47272,38792,38574,35735
255,Croatia,NA,191,B R,475438,674085,585298,579273,573248,561093,518083
256,Gibraltar,NA,292,B,8709,8381,8054,9211,10369,11065,11172
257,Greece,NA,300,B,618139,857850,1111665,1190707,1321149,1242924,1211382
258,Holy See,23,336,I,768,780,785,798,794,803,799
259,Italy,NA,380,B,1428219,1774954,2121688,3954790,5787893,5805328,6273722
260,Malta,NA,470,B,15077,17740,21521,24560,33008,52642,84949
261,Montenegro,NA,499,B,NA,NA,NA,NA,78512,71719,70967
262,North Macedonia,NA,807,B,95142,109343,125665,127667,129701,130730,131175
263,Portugal,NA,620,B,435782,532822,651472,771184,762825,864814,888162
264,San Marino,NA,674,C,3310,3659,4045,4218,4880,5195,5507
265,Serbia,24,688,B,99269,870980,977873,854848,826275,807441,820312
266,Slovenia,NA,705,B,178077,174419,214508,217218,253786,237616,253122
267,Spain,25,724,B,821605,1020067,1657285,4107226,6280065,5891208,6104203
268,Western Europe,NA,926,NA,16626875,18720765,20840377,22257442,24016355,26081834,30427318
269,Austria,NA,40,B,793239,894893,996547,1136270,1275992,1492374,1779857
270,Belgium,NA,56,B,1280583,1288003,1268368,1248733,1503806,1783488,1981919
271,France,NA,250,B,5897267,6087993,6278718,6737600,7309986,7874172,8334875
272,Germany,NA,276,B,5936181,7464406,8992631,9402447,9812263,10220418,13132146
273,Liechtenstein,NA,438,B,10906,13311,15483,18898,22342,23799,25467
274,Luxembourg,NA,442,B,113795,126106,139750,150618,163142,248888,291723
275,Monaco,NA,492,B,20359,21060,21787,21312,21132,25983,26511
276,Netherlands,NA,528,B,1182263,1346164,1556337,1736127,1832510,1996318,2282791
277,Switzerland,NA,756,B,1392282,1478829,1570756,1805437,2075182,2416394,2572029
278,NORTHERN AMERICA,NA,918,NA,27610408,33340948,40351694,45363257,50970861,55633443,58647822
279,Bermuda,NA,60,B,15683,16676,17668,18276,18884,19126,19336
280,Canada,NA,124,B,4333318,4864778,5511914,6078985,6761226,7428657,7960657
281,Greenland,NA,304,B,9282,7121,6601,6556,6091,5797,5690
282,Saint Pierre and Miquelon,NA,666,B,1099,1320,1458,1147,1017,986,990
283,United States of America,NA,840,B,23251026,28451053,34814053,39258293,44183643,48178877,50661149
